submission_id,title,main_type,prior,relevance,competence,target
2118,Harvard admission exams,some,0.19038095424762122,1.0401147635469357,-1.172733424171267,-1.8890044284942036
2118,Martha's cookies,some,-1.5057402745039132,-0.6369695063582008,-1.118502976810746,0.6296681428314012
2118,Rotten tomatoes,some,-0.2596103921558471,1.0401147635469357,0.6168713387259266,0.4497629591652865
2118,Unexpected guest,xor,-0.3115324705870165,1.0401147635469357,-0.006778805920065127,1.3492888774958596
2118,Greg's movie,xor,1.1249783660086707,-1.002487872875987,-1.010042082089704,-0.899525918330573
2118,Toby's carrots,some,-1.1249783660086707,0.739099638179347,1.3489823780929602,0.6746444387479298
2118,Grandma,xor,-0.7961385359445978,-1.1099932747929828,1.3489823780929602,0.26985777549917195
2118,Presents,xor,1.3326666797333484,-1.1099932747929828,-0.006778805920065127,-0.5846918469148725
2116,Presents,xor,0.9351477906162371,-0.6194037795557771,0.6053303158909102,0.37000643495047747
2116,Toby's carrots,some,-0.8044721168183351,1.3195993564449162,0.9534941577105188,0.37000643495047747
2116,Harvard admission exams,some,1.0576562348017704,1.3195993564449162,-1.1671401515543696,0.37000643495047747
2116,Jimmy's trip,xor,-1.0984923828636148,-1.0742316756547052,0.985145416057756,0.37000643495047747
2116,College,xor,-0.4369467842617354,1.0323396325929617,0.7002840909326217,0.37000643495047747
2116,Greg's movie,xor,1.3516765008470502,-1.0742316756547052,0.3837715074602503,-2.5900450446533423
2116,Harry Potter,some,-0.6574619837956952,-0.3560823660248187,-1.6735602851101636,0.37000643495047747
2116,Van Gogh exhibition,some,-1.0984923828636148,-0.5475888485927884,-0.7873250513875238,0.37000643495047747
2115,Picnic pictures,some,0.7367989540751451,-0.9787773503706332,-0.9820137606169352,0.9757804078100322
2115,Rotten tomatoes,some,-1.1999297252080934,0.9935699551621289,-0.9619214074585325,0.9757804078100322
2115,Toby's carrots,some,-1.1999297252080934,0.934399535996146,1.0272215552233415,-1.0465624063040242
2115,Dave's kids,xor,-0.14735979081502903,-0.9787773503706332,-0.9820137606169352,-1.0465624063040242
2115,Unexpected guest,xor,0.7262732547312144,-0.9787773503706332,-0.9820137606169352,-0.7836578404691968
2115,Gigi's exams,xor,0.9052101435780353,0.9935699551621289,0.8262980236393138,-1.0263389781628836
2115,Hotel check,some,-1.1999297252080934,0.9935699551621289,1.0272215552233415,0.9757804078100322
2115,Grandma,xor,-0.052628496719653195,-0.9787773503706332,1.0272215552233415,0.9757804078100322
2114,Toby's carrots,some,-1.1626962069857378,1.2133793504955899,-0.3915900189295849,1.042079710366399
2114,Grandma,xor,0.9677531303653747,-0.6154822792368935,1.5094623806601948,1.042079710366399
2114,Felix' clothes,some,-1.1626962069857378,-1.2133793504955899,1.5094623806601948,1.042079710366399
2114,Dave's kids,xor,-0.09747153831018157,-0.5803118632804996,-0.5790177202975914,-1.2504956524396789
2114,Presents,xor,1.5734691184357892,-0.5099710313677117,0.5187731020007321,0.10420797103663991
2114,Crime,xor,-0.5987537353339727,-0.791334359018863,-0.7664454216655977,-0.20841594207327982
2114,Suzy's fruits,some,-0.20190532935680472,1.2837201824083777,-0.6325684921170217,-1.6673275365862386
2114,Final exam,some,-1.1626962069857378,1.2133793504955899,-1.1680762103113258,-0.10420797103663991
2113,Semester abroad,xor,0.9426248123625909,1.2422483919246528,0,-2.4488844951634396
2113,Van Gogh exhibition,some,-0.6609869111079142,-0.8499594260537098,0.029512949080830624,0.5651271911915631
2113,Emails from a broken laptop,some,0.23565620309064778,0.5157873440154991,0.7378237270207656,0.5651271911915631
2113,Mrs. Sanders' son,xor,-1.488657478060433,1.2422483919246528,0.7378237270207656,0.5651271911915631
2113,Final exam,some,-1.488657478060433,-1.6635957997119617,0.7378237270207656,0.5651271911915631
2113,Grandma,xor,0.2528993399021586,-0.18161526197728842,0.7378237270207656,0.5651271911915631
2113,Gigi's exams,xor,1.1322993172892097,0.4576704601827668,-2.213471181062297,-0.15823561353363766
2113,Dinosaurs,some,0.23565620309064778,-0.7627841003046113,-0.7673366761015963,-0.2185158472607377
2112,Toby's carrots,some,-1.3417471739123914,-0.22458538797354577,-1.4485250538923653,1.606392089788902
2112,Dave's kids,xor,-1.06173037240024,-1.4223741238324565,-0.5598593766577854,0.9653615171415492
2112,Grandma,xor,0.6708735869561956,-0.7807015867651829,0.2577130463980282,-0.530376485702274
2112,Joshua's delay,xor,0.5833683364836484,0.9304251787475467,0.9686455881856922,-1.4461344466270638
2112,Swiss watch prototype testing,some,-0.22167996786378646,0.8020906713340921,0.0088866567723458,-0.2556490974248371
2112,Star Trek expert,some,1.5284250415871588,1.5720977158148204,1.8928578925096553,-1.1103565276213074
2112,Felix' clothes,some,-0.5366988695649566,-0.9945924324542741,-0.4176728683002526,0.6906341288641122
2112,Eyewitness,xor,0.09333893383738368,0.11763996512900016,-0.7020458850153182,0.0801288215809191
2110,Toby's carrots,some,-1.8035516408025791,0.820763778709421,0.9345495324378635,0.6296788544209507
2110,Emails from a broken laptop,some,-0.22344887585164688,0.820763778709421,0.9345495324378635,0.6296788544209507
2110,Crime,xor,-0.2713307778198569,-0.5903739460892327,-0.46552467346155746,-1.655822172736574
2110,Grandma,xor,0.4947796536715041,-0.6191726751667561,0.9345495324378635,0.6296788544209507
2110,Tony's clubbing,xor,-0.7262088465178527,-2.059109129042933,-1.8655988793609786,0.6296788544209507
2110,Rotten tomatoes,some,-0.7980316994701677,0.820763778709421,-0.9695513875853491,-1.7024650508418298
2110,Suzy's fruits,some,1.883354810749596,-0.014399364538761771,-0.12950686404569645,0.20989295147365025
