submission_id,title,main_type,relevance,prior,competence,target,competence_wUtt,relevance_wUtt
1972,Gigi's exams,xor,-0.23762131146303583,1.192294108606354,-1.3937303367010512,-2.180769356928181,-0.3782720889311543,0.3566619642421548
1972,Leo's prize,xor,0.7841503278280182,0.8374446715211297,0.2888414983505197,-1.0714762736352335,-1.0053177138260407,0.22456494044876413
1972,Champagne reception,some,-1.59206278680234,-1.0077724013220375,-1.3937303367010512,0.5420409384272358,-2.0413061375654187,-0.8850500594157175
1972,Mrs Sanders' son,xor,0.7841503278280182,-0.4258193245022694,0.8496987767010433,0.5420409384272358,0.6849791880645227,0.99072767845043
1972,Tony's clubbing,xor,0.285145573755643,-1.0077724013220375,0.8496987767010433,0.5420409384272358,0.6849791880645227,-1.017147083209108
1972,M&Ms in the hospital,some,-1.59206278680234,1.5471435456915787,0.8496987767010433,0.5420409384272358,0.6849791880645227,-1.6512127974173834
1972,Shelter,some,0.7841503278280182,-1.0077724013220375,-0.9001759317525905,0.5420409384272358,0.6849791880645227,0.99072767845043
1972,Youth hostel,some,0.7841503278280182,-0.7238928516538579,0.8496987767010433,0.5420409384272358,0.6849791880645227,0.99072767845043
1971,Violinist,some,0.5183777642782633,1.5170365731004611,0.8843186813272426,1.0205874196165712,0.8288038898620513,-1.8257792064733247
1971,Underage drinking,some,1.1898003922958234,0.32251958640718464,-1.5499348930789305,1.3561230096274988,0.3946685189819292,0.7576362693528762
1971,Alex's racket,xor,-0.8244674917568569,-1.3975848744311334,1.416811650728593,-0.8807809237786847,1.0656050012512088,-0.302226489960437
1971,Crush,xor,1.268791289709654,-0.7047650221490331,-1.3597588325784482,1.3561230096274988,1.0656050012512088,1.320688360238074
1971,Chloe's holiday,xor,-1.772358260722824,0.56142298374584,0.23772007562560285,-0.8807809237786847,-0.9077375936584372,-1.163364981902504
1971,Martha's cookies,some,-0.705981145636111,-0.7764360413506297,-0.29477289377574756,-0.433400137097448,-0.9077375936584372,0.1945841784676786
1971,College,xor,0.1629187259160256,0.1791775480039915,-0.028526409075072343,-0.8807809237786847,0.15786740759277168,0.592032713210171
1971,Picnic pictures,some,0.1629187259160256,1.6603786115036543,0.6941426208267604,-0.6570905304380664,-1.6970746316222955,0.42642915706746587
1970,Grandma,xor,-0.6328135547671163,1.04577729058999,0.6028249297441415,-1.341322180543679,0.49440375110794926,-1.007929534332778
1970,Lily's husband,xor,-1.1953144923378864,-0.6076813985860754,0.8388962309026864,0.6055758367855428,0.23645396792119314,-0.9829653353400158
1970,Swiss watch prototype testing,some,0.8245752380298789,-1.2012306716236374,-1.420643365900529,0.7866826290952379,0.4514121205768233,1.0640989820664932
1970,Shelter,some,-0.9396322479875364,-1.116437918332557,-1.25202100793014,-1.2507687843888313,-1.4402196227927218,-0.8831085393689666
1970,Martha's cookies,some,-1.0930415945977465,1.5121374336909315,-0.8473273488012059,0.6055758367855428,-1.5691945143861,-1.0328937333255404
1970,Eyewitness,xor,0.977984584640089,1.0245791022672197,0.265580213803363,-1.1602153882339838,0.06448744579668904,0.8643853901243949
1970,Pete's accident,xor,0.977984584640089,-0.5652850219405352,0.36675362858559657,0.6961292329403903,0.1504707068589411,0.9642421860954441
1970,Attendance,some,1.080257482380229,-0.9892487883959367,1.4459367195960875,1.0583428175597804,1.612186144917226,1.0141705840809687
1969,Pete's accident,xor,0.5789918644848251,-0.7989850252275538,0.18645390242385138,-1.2900456422100735,-1.4701238894963669,0.11576098740416808
1969,Brad Pitt,xor,-1.4295462848784621,-0.25681661525171373,-0.48220836833754666,-1.1970693797084464,-1.032214645816598,-1.5753560459784612
1969,Shelter,some,0.0051238218096002226,-0.22828143577930107,-0.6365150462055615,0.7554321328257186,1.0009354141251858,-0.12582716022192184
1969,Mrs Todd's math exams,some,-0.6097347953424265,-1.1984775378413306,-0.3279016904695317,0.7554321328257186,0.5004677070625929,0.07549629613315309
1969,Bill's order,xor,-1.060631114587246,1.712110768344758,0.957987291763926,-0.17433049219055047,-1.1573315725822462,-1.0921797507262814
1969,Attendance,some,1.0298881837296447,-0.2853517947241263,2.089569596129369,1.220313445333853,1.1573315725822462,1.1626429604505577
1969,Brad's clothes,xor,-0.1588384760976069,0.7989850252275538,-0.8422572833629148,-1.0111168547051927,0.43790924367976886,-0.16609185149293682
1969,Nuts,some,1.6447468008816715,-1.1984775378413306,-0.9451284019415914,0.9413846578289725,0.563026170445417,1.6055545644317224
1968,Attendance,some,0.677777068583109,0.11275389352037649,1.0935057004794864,0.7207012055608772,0.8805741419067552,1.0279385334040432
1968,Brad's clothes,xor,-1.8001175907529885,1.1681303368710991,-0.7290038003196576,-2.031067033853381,-0.3592742498979561,-0.765157254187972
1968,Rotten tomatoes,some,0.9401423854539899,-1.7815115176219463,-1.3178145621163042,0.0655182914146252,-1.9372631121948614,1.0279385334040432
1968,Underage drinking,some,0.9401423854539899,0.004510155740815183,1.0654670927748842,0.7207012055608772,0.7678606517426905,1.0279385334040432
1968,Grandma,xor,-1.2753869570112266,0.8704600579773055,0.5327335463874421,0.7207012055608772,0.8242173968247228,-0.9197344772562491
1968,Mrs Sanders' son,xor,0.7360804723321936,0.05863202463059584,1.0935057004794864,0.7207012055608772,0.8805741419067552,0.7806149764947997
1968,Suzy's fruits,some,-0.05101547828044906,-1.7815115176219463,-1.0654670927748842,-1.1793292454632536,-0.9791984458003118,-1.2907198126201145
1968,Harold's pet,xor,-0.16762228577861835,-0.37434292648764933,-0.6729265849104532,0.2620731656585008,-0.07749052448779445,-0.8888190326425938
