key,negative_eff,no_eff,positive_eff
competence_some,0,0,1
competence_xor,0,0.007333333333333333,0.9926666666666667
prior_some,0.9995,5e-4,0
prior_xor,0.6193333333333333,0.373,0.007666666666666666
relevance_some,0.0185,0.592,0.3895
relevance_xor,6.666666666666666e-4,0.22766666666666666,0.7716666666666666
